Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
2639429;20;01/01/2016 01:40;Provinciale;VIA DI VALLE MURICANA;da specificare;;;;proassimità km. 6,800;Fuoriuscita dalla sede stradale;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Sereno;Scarso;Buona;Inesistente;1;0;0;0;12,46918;42,02333;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;;
2639434;20;01/01/2016 04:40;Strada Urbana;PIAZZALE DI PONTE MILVIO;da specificare;;;;frontr torretta;Veicolo in marcia contro ostacolo fisso;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;0;2;12,46604;41,93722;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2639434;20;01/01/2016 04:40;Strada Urbana;PIAZZALE DI PONTE MILVIO;da specificare;;;;frontr torretta;Veicolo in marcia contro ostacolo fisso;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;0;2;12,46604;41,93722;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
2639440;2;01/01/2016 08:15;Strada Urbana;VIA DEL FORO ITALICO;da specificare;;;;dir. S.Giovanni alt. Salaria semicarreggiata sx;Veicolo in marcia contro ostacolo fisso;Curva a visuale libera;Più di due carreggiate;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Scarso;Buona;Ore Diurne;0;0;0;1;12,48104;41,94025;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;;
2639706;15;01/01/2016 06:00;Strada Urbana;VIA DELLA MAGLIANA;in prossimità;;del palo luce n.;818;;Ribaltamento senza urto contro ostacolo fisso;Rettilineo;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Assente;Nuvoloso;Scarso;Buona;Sufficiente;0;0;0;1;12,42401;41,83394;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2639735;15;01/01/2016 16:30;Strada Urbana;VIA DELLA MAGLIANA;in prossimità;;del civico n.;424;;Scontro frontale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;4;0;0;1;12,44653;41,83418;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Esploso
2639735;15;01/01/2016 16:30;Strada Urbana;VIA DELLA MAGLIANA;in prossimità;;del civico n.;424;;Scontro frontale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;4;0;0;1;12,44653;41,83418;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Rimandato;0;NON DECEDUTO;Non accertato;Inesploso
2639735;15;01/01/2016 16:30;Strada Urbana;VIA DELLA MAGLIANA;in prossimità;;del civico n.;424;;Scontro frontale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;4;0;0;1;12,44653;41,83418;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Rifiuta cure immediate;0;NON DECEDUTO;Non accertato;Inesploso
2639735;15;01/01/2016 16:30;Strada Urbana;VIA DELLA MAGLIANA;in prossimità;;del civico n.;424;;Scontro frontale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;4;0;0;1;12,44653;41,83418;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Rifiuta cure immediate;0;NON DECEDUTO;;
2639735;15;01/01/2016 16:30;Strada Urbana;VIA DELLA MAGLIANA;in prossimità;;del civico n.;424;;Scontro frontale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Ore Diurne;4;0;0;1;12,44653;41,83418;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;Esploso
2639848;11;01/01/2016 08:40;Strada Urbana;VIA PALOS;in prossimità;;del palo luce n.;14;;Fuoriuscita dalla sede stradale;Rettilineo;Una carreggiata a senso unico alternato;Bagnato (umidità in atto);Asfaltata;Orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;0;0;0;1;12,4968;41,86829;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Esploso
2639857;11;01/01/2016 06:20;Strada Urbana;VIA DI TOR CARBONE;in prossimità;;del civico n.;207;;Veicolo in marcia contro ostacolo fisso;Rotatoria;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Sufficiente;0;0;0;1;12,52;41,827;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2639863;11;01/01/2016 02:00;Strada Urbana;VIALE DEL TINTORETTO;da specificare;;;;fronte civ. 290;Veicolo in marcia contro veicolo in sosta;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Sufficiente;Sufficiente;0;0;0;2;12,48944;41,83381;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Esploso
2639863;11;01/01/2016 02:00;Strada Urbana;VIALE DEL TINTORETTO;da specificare;;;;fronte civ. 290;Veicolo in marcia contro veicolo in sosta;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Sufficiente;Sufficiente;0;0;0;2;12,48944;41,83381;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Esploso
2639867;4;01/01/2016 06:10;Statale entro l'abitato;VIA SALARIA;in prossimità;;del civico n.;1031;;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Due carreggiate;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Sufficiente;0;0;1;0;12,50501;41,97154;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Deceduto sul posto;-1;;Utilizzato;
2639891;11;01/01/2016 17:55;Strada Urbana;VIA DELLA MAGLIANA;in corrispondenza;;del civico n.;243;;Veicolo in marcia contro veicolo fermo;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Sufficiente;Sufficiente;0;0;0;4;12,45772;41,84754;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2639891;11;01/01/2016 17:55;Strada Urbana;VIA DELLA MAGLIANA;in corrispondenza;;del civico n.;243;;Veicolo in marcia contro veicolo fermo;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Sufficiente;Sufficiente;0;0;0;4;12,45772;41,84754;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;
2639891;11;01/01/2016 17:55;Strada Urbana;VIA DELLA MAGLIANA;in corrispondenza;;del civico n.;243;;Veicolo in marcia contro veicolo fermo;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Sufficiente;Sufficiente;0;0;0;4;12,45772;41,84754;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;
2639891;11;01/01/2016 17:55;Strada Urbana;VIA DELLA MAGLIANA;in corrispondenza;;del civico n.;243;;Veicolo in marcia contro veicolo fermo;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Sufficiente;Sufficiente;0;0;0;4;12,45772;41,84754;-1;2;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2639894;8;01/01/2016 07:23;Provinciale;VIA PRENESTINA;in corrispondenza;;del palo luce n.;498;;Scontro laterale fra veicoli in marcia;Curva senza visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;0;0;0;3;12,6069;41,89378;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2639894;8;01/01/2016 07:23;Provinciale;VIA PRENESTINA;in corrispondenza;;del palo luce n.;498;;Scontro laterale fra veicoli in marcia;Curva senza visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;0;0;0;3;12,6069;41,89378;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2639894;8;01/01/2016 07:23;Provinciale;VIA PRENESTINA;in corrispondenza;;del palo luce n.;498;;Scontro laterale fra veicoli in marcia;Curva senza visuale libera;Una carreggiata a doppio senso;Asciutto;Asfaltata;Orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;0;0;0;3;12,6069;41,89378;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
2639896;6;01/01/2016 13:00;Strada Urbana;VIA LUCHINO DAL VERME;all'intersezione con;VIA ERASMO GATTAMELATA;VIA ERASMO GATTAMELATA;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;0;0;0;3;12,53657;41,88872;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2639896;6;01/01/2016 13:00;Strada Urbana;VIA LUCHINO DAL VERME;all'intersezione con;VIA ERASMO GATTAMELATA;VIA ERASMO GATTAMELATA;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;0;0;0;3;12,53657;41,88872;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2639896;6;01/01/2016 13:00;Strada Urbana;VIA LUCHINO DAL VERME;all'intersezione con;VIA ERASMO GATTAMELATA;VIA ERASMO GATTAMELATA;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;0;0;0;3;12,53657;41,88872;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;
2639901;8;01/01/2016 02:15;Strada Urbana;VIALE S. RITA DA CASCIA;all'intersezione con;VIA FRANCESCO MERLINI;VIA FRANCESCO MERLINI;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Più di due carreggiate;Bagnato (pioggia);Asfaltata;Assente;Grandine in atto;Intenso;Sufficiente;Sufficiente;0;0;0;5;12,64451;41,86899;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2639901;8;01/01/2016 02:15;Strada Urbana;VIALE S. RITA DA CASCIA;all'intersezione con;VIA FRANCESCO MERLINI;VIA FRANCESCO MERLINI;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Più di due carreggiate;Bagnato (pioggia);Asfaltata;Assente;Grandine in atto;Intenso;Sufficiente;Sufficiente;0;0;0;5;12,64451;41,86899;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
2639901;8;01/01/2016 02:15;Strada Urbana;VIALE S. RITA DA CASCIA;all'intersezione con;VIA FRANCESCO MERLINI;VIA FRANCESCO MERLINI;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Più di due carreggiate;Bagnato (pioggia);Asfaltata;Assente;Grandine in atto;Intenso;Sufficiente;Sufficiente;0;0;0;5;12,64451;41,86899;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2639901;8;01/01/2016 02:15;Strada Urbana;VIALE S. RITA DA CASCIA;all'intersezione con;VIA FRANCESCO MERLINI;VIA FRANCESCO MERLINI;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Più di due carreggiate;Bagnato (pioggia);Asfaltata;Assente;Grandine in atto;Intenso;Sufficiente;Sufficiente;0;0;0;5;12,64451;41,86899;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
2639901;8;01/01/2016 02:15;Strada Urbana;VIALE S. RITA DA CASCIA;all'intersezione con;VIA FRANCESCO MERLINI;VIA FRANCESCO MERLINI;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Più di due carreggiate;Bagnato (pioggia);Asfaltata;Assente;Grandine in atto;Intenso;Sufficiente;Sufficiente;0;0;0;5;12,64451;41,86899;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
2639902;8;01/01/2016 03:00;Strada Urbana;VIA DI TORRENOVA;in prossimità;;del civico n.;108;;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Sufficiente;0;0;0;1;12,61762;41,87126;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2639906;6;01/01/2016 14:40;Strada Urbana;VIA DELLA MARRANELLA;in prossimità;;del civico n.;48;;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;0;0;0;1;12,54236;41,88197;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2639910;8;01/01/2016 19:00;Strada Urbana;VIA DON PRIMO MAZZOLARI;all'intersezione con;VIA OSCAR ARNULFO ROMERO;VIA OSCAR ARNULFO ROMERO;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;1;0;0;1;12,67069;41,89859;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesploso
2639910;8;01/01/2016 19:00;Strada Urbana;VIA DON PRIMO MAZZOLARI;all'intersezione con;VIA OSCAR ARNULFO ROMERO;VIA OSCAR ARNULFO ROMERO;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;1;0;0;1;12,67069;41,89859;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2639911;8;02/01/2016 00:30;Strada Urbana;VIA MEZZOIUSO;all'intersezione con;VIA MILO;VIA MILO;;;Veicolo in marcia contro ostacolo fisso;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Assente;Nuvoloso;Scarso;Sufficiente;Sufficiente;0;0;0;1;12,67225;41,86616;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2639914;8;01/01/2016 19:30;Strada Urbana;VIALE DEI ROMANISTI;all'intersezione con;VIA FILIPPO CESARE ANNESSI;VIA FILIPPO CESARE ANNESSI;;;Veicolo in marcia contro ostacolo accidentale;Intersezione non regolata/non segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Sufficiente;0;0;0;4;12,57733;41,86753;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2639914;8;01/01/2016 19:30;Strada Urbana;VIALE DEI ROMANISTI;all'intersezione con;VIA FILIPPO CESARE ANNESSI;VIA FILIPPO CESARE ANNESSI;;;Veicolo in marcia contro ostacolo accidentale;Intersezione non regolata/non segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Sufficiente;0;0;0;4;12,57733;41,86753;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
2639914;8;01/01/2016 19:30;Strada Urbana;VIALE DEI ROMANISTI;all'intersezione con;VIA FILIPPO CESARE ANNESSI;VIA FILIPPO CESARE ANNESSI;;;Veicolo in marcia contro ostacolo accidentale;Intersezione non regolata/non segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Sufficiente;0;0;0;4;12,57733;41,86753;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
2639914;8;01/01/2016 19:30;Strada Urbana;VIALE DEI ROMANISTI;all'intersezione con;VIA FILIPPO CESARE ANNESSI;VIA FILIPPO CESARE ANNESSI;;;Veicolo in marcia contro ostacolo accidentale;Intersezione non regolata/non segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Sufficiente;0;0;0;4;12,57733;41,86753;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
2639916;8;01/01/2016 20:20;Strada Urbana;VIALE DEI ROMANISTI;all'intersezione con;VIA FILIPPO CESARE ANNESSI;VIA FILIPPO CESARE ANNESSI;;;Veicolo in marcia contro ostacolo accidentale;Intersezione non regolata/non segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Sufficiente;0;0;0;3;12,57733;41,86753;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2639916;8;01/01/2016 20:20;Strada Urbana;VIALE DEI ROMANISTI;all'intersezione con;VIA FILIPPO CESARE ANNESSI;VIA FILIPPO CESARE ANNESSI;;;Veicolo in marcia contro ostacolo accidentale;Intersezione non regolata/non segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Sufficiente;0;0;0;3;12,57733;41,86753;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
2639916;8;01/01/2016 20:20;Strada Urbana;VIALE DEI ROMANISTI;all'intersezione con;VIA FILIPPO CESARE ANNESSI;VIA FILIPPO CESARE ANNESSI;;;Veicolo in marcia contro ostacolo accidentale;Intersezione non regolata/non segnalata;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Sufficiente;0;0;0;3;12,57733;41,86753;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
2640149;1;01/01/2016 03:15;Strada Urbana;PIAZZA VITTORIO EMANUELE II;all'intersezione con;VIA CONTE VERDE;VIA CONTE VERDE;;;Veicolo in marcia contro ostacolo fisso;Incrocio;Una carreggiata a doppio senso;Asciutto;In cubetti di porfido;Verticale;Sereno;Normale;Buona;Sufficiente;1;0;0;0;12,50583;41,89375;-1;1;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Ricoverato;0;NON DECEDUTO;Non accertato;
2640181;20;01/01/2016 20:40;Strada Urbana;LARGO DI VIGNA STELLUTI;all'intersezione con;VIA DI VIGNA STELLUTI;VIA DI VIGNA STELLUTI;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;1;0;0;4;12,46597;41,94761;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2640181;20;01/01/2016 20:40;Strada Urbana;LARGO DI VIGNA STELLUTI;all'intersezione con;VIA DI VIGNA STELLUTI;VIA DI VIGNA STELLUTI;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;1;0;0;4;12,46597;41,94761;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;;
2640181;20;01/01/2016 20:40;Strada Urbana;LARGO DI VIGNA STELLUTI;all'intersezione con;VIA DI VIGNA STELLUTI;VIA DI VIGNA STELLUTI;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;1;0;0;4;12,46597;41,94761;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;
2640181;20;01/01/2016 20:40;Strada Urbana;LARGO DI VIGNA STELLUTI;all'intersezione con;VIA DI VIGNA STELLUTI;VIA DI VIGNA STELLUTI;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;1;0;0;4;12,46597;41,94761;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;
2640181;20;01/01/2016 20:40;Strada Urbana;LARGO DI VIGNA STELLUTI;all'intersezione con;VIA DI VIGNA STELLUTI;VIA DI VIGNA STELLUTI;;;Scontro frontale/laterale SX fra veicoli in marcia;Intersezione stradale segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;1;0;0;4;12,46597;41,94761;-1;2;Ciclomotore;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;;
2640254;1;01/01/2016 05:00;Strada Urbana;LUNGOTEVERE MARZIO;da specificare;;;;PALO ACEA 13;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Sufficiente;1;0;0;2;12,47384;41,90322;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2640254;1;01/01/2016 05:00;Strada Urbana;LUNGOTEVERE MARZIO;da specificare;;;;PALO ACEA 13;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Sufficiente;1;0;0;2;12,47384;41,90322;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;
2640254;1;01/01/2016 05:00;Strada Urbana;LUNGOTEVERE MARZIO;da specificare;;;;PALO ACEA 13;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;Sufficiente;1;0;0;2;12,47384;41,90322;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Rimandato;0;NON DECEDUTO;Non accertato;
2640271;7;01/01/2016 04:30;Strada Urbana;VIA PRENESTINA;in prossimità;;del civico n.;491;;Veicolo in marcia contro ostacolo fisso;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Sufficiente;0;0;0;2;12,57324;41,89517;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
2640271;7;01/01/2016 04:30;Strada Urbana;VIA PRENESTINA;in prossimità;;del civico n.;491;;Veicolo in marcia contro ostacolo fisso;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Assente;Sereno;Scarso;Buona;Sufficiente;0;0;0;2;12,57324;41,89517;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;;
2640273;1;01/01/2016 02:45;Strada Urbana;VIA NICOLA SALVI;da specificare;;;;FRONTE PALO ACEA 1;Scontro laterale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Sufficiente;0;0;0;2;12,49284;41,89134;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2640273;1;01/01/2016 02:45;Strada Urbana;VIA NICOLA SALVI;da specificare;;;;FRONTE PALO ACEA 1;Scontro laterale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Sufficiente;0;0;0;2;12,49284;41,89134;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2640279;7;01/01/2016 09:40;Strada Urbana;VIA LUCA GHINI;da specificare;;;;altezza civico 60;Veicolo in marcia contro veicolo in sosta;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Sufficiente;0;0;0;1;12,58077;41,87658;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2640282;7;02/01/2016 08:10;Strada Urbana;VIA DEI GELSI;all'intersezione con;VIA DEI CASTANI;VIA DEI CASTANI;;;Investimento di pedone;Incrocio;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Nuvoloso;Normale;Sufficiente;Ore Diurne;1;0;0;1;12,56533;41,88851;-1;;;;Pedone;M;Rimandato;0;NON DECEDUTO;;
2640282;7;02/01/2016 08:10;Strada Urbana;VIA DEI GELSI;all'intersezione con;VIA DEI CASTANI;VIA DEI CASTANI;;;Investimento di pedone;Incrocio;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Nuvoloso;Normale;Sufficiente;Ore Diurne;1;0;0;1;12,56533;41,88851;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2640288;7;01/01/2016 08:50;Strada Urbana;VIA ACHILLE GAGGIA;all'intersezione con;VIA SENATORE BORLETTI;VIA SENATORE BORLETTI;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Sereno;Scarso;Buona;Ore Diurne;1;0;0;1;12,58632;41,89159;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso
