id,voti,voti_nona,voti_solosindpres,idComune,value,desc,PRO_COM,PRO_COM_T,COMUNE,COMUNE_U,n,idpartizione,nraggrup,nraggrupmacro,nome,nome_breve,nome2,nome_breve2,nome_cand,cognome_cand,data_nascita_cand,luogo_nascita_cand,immagine,blocco_ins
6,21,0,0,108,108,CASTELRAIMONDO,43009,043009,Castelraimondo,CASTELRAIMONDO,4,0,5,6,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto,Mancini,,,6.png,N
4,21,0,0,108,108,CASTELRAIMONDO,43009,043009,Castelraimondo,CASTELRAIMONDO,5,0,6,4,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio,Pasquinelli,10/01/1981,Osimo,4.png,N
3,8,0,0,108,108,CASTELRAIMONDO,43009,043009,Castelraimondo,CASTELRAIMONDO,6,0,2,3,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita,Iannetti,26/08/1953,Brittoli,3.png,N
8,27,0,0,109,109,CASTELSANTANGELO sul Nera,43010,043010,Castelsantangelo sul Nera,CASTELSANTANGELO SUL NERA,1,0,3,8,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio,Mangialardi,17/11/1964,Ancona,8.png,N
5,89,0,0,109,109,CASTELSANTANGELO sul Nera,43010,043010,Castelsantangelo sul Nera,CASTELSANTANGELO SUL NERA,2,0,7,5,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco,Acquaroli,25/09/1974,Macerata,5.png,N
7,14,0,0,109,109,CASTELSANTANGELO sul Nera,43010,043010,Castelsantangelo sul Nera,CASTELSANTANGELO SUL NERA,3,0,4,7,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario,Mercorelli,06/02/1973,Macerata,7.png,N
2,2,0,0,109,109,CASTELSANTANGELO sul Nera,43010,043010,Castelsantangelo sul Nera,CASTELSANTANGELO SUL NERA,7,0,1,2,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola,Banzato,21/02/1964,Castellanza,2.png,N
6,1,0,0,109,109,CASTELSANTANGELO sul Nera,43010,043010,Castelsantangelo sul Nera,CASTELSANTANGELO SUL NERA,4,0,5,6,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto,Mancini,,,6.png,N
4,2,0,0,109,109,CASTELSANTANGELO sul Nera,43010,043010,Castelsantangelo sul Nera,CASTELSANTANGELO SUL NERA,5,0,6,4,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio,Pasquinelli,10/01/1981,Osimo,4.png,N
3,0,0,0,109,109,CASTELSANTANGELO sul Nera,43010,043010,Castelsantangelo sul Nera,CASTELSANTANGELO SUL NERA,6,0,2,3,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita,Iannetti,26/08/1953,Brittoli,3.png,N
